src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.52,192.168.167.254,9803,80,TCP,60,0,64,S,2,512,0
192.168.167.52,192.168.167.254,9804,80,TCP,60,0,64,S,2,512,1
192.168.167.52,192.168.167.254,9805,80,TCP,60,0,64,S,2,512,2
192.168.167.52,192.168.167.254,9806,80,TCP,60,0,64,S,2,512,3
192.168.167.52,192.168.167.254,9807,80,TCP,60,0,64,S,2,512,4
192.168.167.52,192.168.167.254,9808,80,TCP,60,0,64,S,2,512,5
192.168.167.52,192.168.167.254,9809,80,TCP,60,0,64,S,2,512,6
192.168.167.52,192.168.167.254,9810,80,TCP,60,0,64,S,2,512,7
192.168.167.254,192.168.167.52,80,9803,TCP,54,0,64,RA,20,0,8
192.168.167.254,192.168.167.52,80,9804,TCP,54,0,64,RA,20,0,9
192.168.167.254,192.168.167.52,80,9805,TCP,54,0,64,RA,20,0,10
192.168.167.254,192.168.167.52,80,9806,TCP,54,0,64,RA,20,0,11
192.168.167.254,192.168.167.52,80,9807,TCP,54,0,64,RA,20,0,12
192.168.167.254,192.168.167.52,80,9808,TCP,54,0,64,RA,20,0,13
192.168.167.254,192.168.167.52,80,9809,TCP,54,0,64,RA,20,0,14
192.168.167.254,192.168.167.52,80,9810,TCP,54,0,64,RA,20,0,15
192.168.167.52,192.168.167.254,9811,80,TCP,60,0,64,S,2,512,16
192.168.167.52,192.168.167.254,9812,80,TCP,60,0,64,S,2,512,17
192.168.167.52,192.168.167.254,9813,80,TCP,60,0,64,S,2,512,18
192.168.167.52,192.168.167.254,9814,80,TCP,60,0,64,S,2,512,19
192.168.167.52,192.168.167.254,9815,80,TCP,60,0,64,S,2,512,20
192.168.167.52,192.168.167.254,9816,80,TCP,60,0,64,S,2,512,21
192.168.167.52,192.168.167.254,9817,80,TCP,60,0,64,S,2,512,22
192.168.167.52,192.168.167.254,9818,80,TCP,60,0,64,S,2,512,23
192.168.167.254,192.168.167.52,80,9811,TCP,54,0,64,RA,20,0,24
192.168.167.254,192.168.167.52,80,9812,TCP,54,0,64,RA,20,0,25
192.168.167.254,192.168.167.52,80,9813,TCP,54,0,64,RA,20,0,26
192.168.167.254,192.168.167.52,80,9814,TCP,54,0,64,RA,20,0,27
192.168.167.254,192.168.167.52,80,9815,TCP,54,0,64,RA,20,0,28
192.168.167.254,192.168.167.52,80,9816,TCP,54,0,64,RA,20,0,29
192.168.167.254,192.168.167.52,80,9817,TCP,54,0,64,RA,20,0,30
192.168.167.254,192.168.167.52,80,9818,TCP,54,0,64,RA,20,0,31
192.168.167.52,192.168.167.254,9819,80,TCP,60,0,64,S,2,512,32
192.168.167.52,192.168.167.254,9820,80,TCP,60,0,64,S,2,512,33
192.168.167.52,192.168.167.254,9821,80,TCP,60,0,64,S,2,512,34
192.168.167.52,192.168.167.254,9822,80,TCP,60,0,64,S,2,512,35
192.168.167.52,192.168.167.254,9823,80,TCP,60,0,64,S,2,512,36
192.168.167.52,192.168.167.254,9824,80,TCP,60,0,64,S,2,512,37
192.168.167.52,192.168.167.254,9825,80,TCP,60,0,64,S,2,512,38
192.168.167.52,192.168.167.254,9826,80,TCP,60,0,64,S,2,512,39
192.168.167.254,192.168.167.52,80,9819,TCP,54,0,64,RA,20,0,40
192.168.167.254,192.168.167.52,80,9820,TCP,54,0,64,RA,20,0,41
192.168.167.254,192.168.167.52,80,9821,TCP,54,0,64,RA,20,0,42
192.168.167.254,192.168.167.52,80,9822,TCP,54,0,64,RA,20,0,43
192.168.167.254,192.168.167.52,80,9823,TCP,54,0,64,RA,20,0,44
192.168.167.254,192.168.167.52,80,9824,TCP,54,0,64,RA,20,0,45
192.168.167.254,192.168.167.52,80,9825,TCP,54,0,64,RA,20,0,46
192.168.167.254,192.168.167.52,80,9826,TCP,54,0,64,RA,20,0,47
192.168.167.52,192.168.167.254,9827,80,TCP,60,0,64,S,2,512,48
192.168.167.52,192.168.167.254,9828,80,TCP,60,0,64,S,2,512,49
192.168.167.52,192.168.167.254,9829,80,TCP,60,0,64,S,2,512,50
192.168.167.52,192.168.167.254,9830,80,TCP,60,0,64,S,2,512,51
192.168.167.52,192.168.167.254,9831,80,TCP,60,0,64,S,2,512,52
192.168.167.52,192.168.167.254,9832,80,TCP,60,0,64,S,2,512,53
192.168.167.52,192.168.167.254,9833,80,TCP,60,0,64,S,2,512,54
192.168.167.52,192.168.167.254,9834,80,TCP,60,0,64,S,2,512,55
192.168.167.254,192.168.167.52,80,9827,TCP,54,0,64,RA,20,0,56
192.168.167.254,192.168.167.52,80,9828,TCP,54,0,64,RA,20,0,57
192.168.167.254,192.168.167.52,80,9829,TCP,54,0,64,RA,20,0,58
192.168.167.254,192.168.167.52,80,9830,TCP,54,0,64,RA,20,0,59
192.168.167.254,192.168.167.52,80,9831,TCP,54,0,64,RA,20,0,60
192.168.167.254,192.168.167.52,80,9832,TCP,54,0,64,RA,20,0,61
192.168.167.254,192.168.167.52,80,9833,TCP,54,0,64,RA,20,0,62
192.168.167.254,192.168.167.52,80,9834,TCP,54,0,64,RA,20,0,63
192.168.167.52,192.168.167.254,9835,80,TCP,60,0,64,S,2,512,64
192.168.167.52,192.168.167.254,9836,80,TCP,60,0,64,S,2,512,65
192.168.167.52,192.168.167.254,9837,80,TCP,60,0,64,S,2,512,66
192.168.167.52,192.168.167.254,9838,80,TCP,60,0,64,S,2,512,67
192.168.167.52,192.168.167.254,9839,80,TCP,60,0,64,S,2,512,68
192.168.167.52,192.168.167.254,9840,80,TCP,60,0,64,S,2,512,69
192.168.167.52,192.168.167.254,9841,80,TCP,60,0,64,S,2,512,70
192.168.167.52,192.168.167.254,9842,80,TCP,60,0,64,S,2,512,71
192.168.167.254,192.168.167.52,80,9835,TCP,54,0,64,RA,20,0,72
192.168.167.254,192.168.167.52,80,9836,TCP,54,0,64,RA,20,0,73
192.168.167.254,192.168.167.52,80,9837,TCP,54,0,64,RA,20,0,74
192.168.167.254,192.168.167.52,80,9838,TCP,54,0,64,RA,20,0,75
192.168.167.254,192.168.167.52,80,9839,TCP,54,0,64,RA,20,0,76
192.168.167.254,192.168.167.52,80,9840,TCP,54,0,64,RA,20,0,77
