src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.52,192.168.167.254,3154,80,TCP,60,0,64,S,2,512,0
192.168.167.52,192.168.167.254,3155,80,TCP,60,0,64,S,2,512,1
192.168.167.52,192.168.167.254,3156,80,TCP,60,0,64,S,2,512,2
192.168.167.52,192.168.167.254,3157,80,TCP,60,0,64,S,2,512,3
192.168.167.52,192.168.167.254,3158,80,TCP,60,0,64,S,2,512,4
192.168.167.52,192.168.167.254,3159,80,TCP,60,0,64,S,2,512,5
192.168.167.52,192.168.167.254,3160,80,TCP,60,0,64,S,2,512,6
192.168.167.254,192.168.167.52,80,3153,TCP,54,0,64,RA,20,0,7
192.168.167.254,192.168.167.52,80,3154,TCP,54,0,64,RA,20,0,8
192.168.167.254,192.168.167.52,80,3155,TCP,54,0,64,RA,20,0,9
192.168.167.254,192.168.167.52,80,3156,TCP,54,0,64,RA,20,0,10
192.168.167.254,192.168.167.52,80,3157,TCP,54,0,64,RA,20,0,11
192.168.167.254,192.168.167.52,80,3158,TCP,54,0,64,RA,20,0,12
192.168.167.254,192.168.167.52,80,3159,TCP,54,0,64,RA,20,0,13
192.168.167.254,192.168.167.52,80,3160,TCP,54,0,64,RA,20,0,14
192.168.167.52,192.168.167.254,3161,80,TCP,60,0,64,S,2,512,15
192.168.167.254,192.168.167.52,80,3161,TCP,54,0,64,RA,20,0,16
192.168.167.52,192.168.167.254,3162,80,TCP,60,0,64,S,2,512,17
192.168.167.52,192.168.167.254,3163,80,TCP,60,0,64,S,2,512,18
192.168.167.52,192.168.167.254,3164,80,TCP,60,0,64,S,2,512,19
192.168.167.52,192.168.167.254,3165,80,TCP,60,0,64,S,2,512,20
192.168.167.52,192.168.167.254,3166,80,TCP,60,0,64,S,2,512,21
192.168.167.52,192.168.167.254,3167,80,TCP,60,0,64,S,2,512,22
192.168.167.254,192.168.167.52,80,3162,TCP,54,0,64,RA,20,0,23
192.168.167.254,192.168.167.52,80,3163,TCP,54,0,64,RA,20,0,24
192.168.167.254,192.168.167.52,80,3164,TCP,54,0,64,RA,20,0,25
192.168.167.254,192.168.167.52,80,3165,TCP,54,0,64,RA,20,0,26
192.168.167.254,192.168.167.52,80,3166,TCP,54,0,64,RA,20,0,27
192.168.167.254,192.168.167.52,80,3167,TCP,54,0,64,RA,20,0,28
192.168.167.52,192.168.167.254,3168,80,TCP,60,0,64,S,2,512,29
192.168.167.52,192.168.167.254,3169,80,TCP,60,0,64,S,2,512,30
192.168.167.52,192.168.167.254,3170,80,TCP,60,0,64,S,2,512,31
192.168.167.52,192.168.167.254,3171,80,TCP,60,0,64,S,2,512,32
192.168.167.52,192.168.167.254,3172,80,TCP,60,0,64,S,2,512,33
192.168.167.52,192.168.167.254,3173,80,TCP,60,0,64,S,2,512,34
192.168.167.52,192.168.167.254,3174,80,TCP,60,0,64,S,2,512,35
192.168.167.52,192.168.167.254,3175,80,TCP,60,0,64,S,2,512,36
192.168.167.254,192.168.167.52,80,3168,TCP,54,0,64,RA,20,0,37
192.168.167.254,192.168.167.52,80,3169,TCP,54,0,64,RA,20,0,38
192.168.167.254,192.168.167.52,80,3170,TCP,54,0,64,RA,20,0,39
192.168.167.254,192.168.167.52,80,3171,TCP,54,0,64,RA,20,0,40
192.168.167.254,192.168.167.52,80,3172,TCP,54,0,64,RA,20,0,41
192.168.167.254,192.168.167.52,80,3173,TCP,54,0,64,RA,20,0,42
192.168.167.254,192.168.167.52,80,3174,TCP,54,0,64,RA,20,0,43
192.168.167.254,192.168.167.52,80,3175,TCP,54,0,64,RA,20,0,44
192.168.167.52,192.168.167.254,3176,80,TCP,60,0,64,S,2,512,45
192.168.167.52,192.168.167.254,3177,80,TCP,60,0,64,S,2,512,46
192.168.167.52,192.168.167.254,3178,80,TCP,60,0,64,S,2,512,47
192.168.167.52,192.168.167.254,3179,80,TCP,60,0,64,S,2,512,48
192.168.167.52,192.168.167.254,3180,80,TCP,60,0,64,S,2,512,49
