src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.254,192.168.167.52,80,56977,TCP,54,0,64,RA,20,0,0
192.168.167.254,192.168.167.52,80,56978,TCP,54,0,64,RA,20,0,1
192.168.167.254,192.168.167.52,80,56979,TCP,54,0,64,RA,20,0,2
192.168.167.254,192.168.167.52,80,56980,TCP,54,0,64,RA,20,0,3
192.168.167.254,192.168.167.52,80,56981,TCP,54,0,64,RA,20,0,4
192.168.167.254,192.168.167.52,80,56982,TCP,54,0,64,RA,20,0,5
192.168.167.52,192.168.167.254,56983,80,TCP,60,0,64,S,2,512,6
192.168.167.52,192.168.167.254,56984,80,TCP,60,0,64,S,2,512,7
192.168.167.52,192.168.167.254,56985,80,TCP,60,0,64,S,2,512,8
192.168.167.52,192.168.167.254,56986,80,TCP,60,0,64,S,2,512,9
192.168.167.52,192.168.167.254,56987,80,TCP,60,0,64,S,2,512,10
192.168.167.52,192.168.167.254,56988,80,TCP,60,0,64,S,2,512,11
192.168.167.52,192.168.167.254,56989,80,TCP,60,0,64,S,2,512,12
192.168.167.52,192.168.167.254,56990,80,TCP,60,0,64,S,2,512,13
192.168.167.254,192.168.167.52,80,56983,TCP,54,0,64,RA,20,0,14
192.168.167.254,192.168.167.52,80,56984,TCP,54,0,64,RA,20,0,15
192.168.167.254,192.168.167.52,80,56985,TCP,54,0,64,RA,20,0,16
192.168.167.254,192.168.167.52,80,56986,TCP,54,0,64,RA,20,0,17
192.168.167.254,192.168.167.52,80,56987,TCP,54,0,64,RA,20,0,18
192.168.167.254,192.168.167.52,80,56988,TCP,54,0,64,RA,20,0,19
192.168.167.254,192.168.167.52,80,56989,TCP,54,0,64,RA,20,0,20
192.168.167.254,192.168.167.52,80,56990,TCP,54,0,64,RA,20,0,21
192.168.167.52,192.168.167.254,56991,80,TCP,60,0,64,S,2,512,22
192.168.167.52,192.168.167.254,56992,80,TCP,60,0,64,S,2,512,23
192.168.167.52,192.168.167.254,56993,80,TCP,60,0,64,S,2,512,24
192.168.167.52,192.168.167.254,56994,80,TCP,60,0,64,S,2,512,25
192.168.167.52,192.168.167.254,56995,80,TCP,60,0,64,S,2,512,26
192.168.167.52,192.168.167.254,56996,80,TCP,60,0,64,S,2,512,27
192.168.167.52,192.168.167.254,56997,80,TCP,60,0,64,S,2,512,28
192.168.167.52,192.168.167.254,56998,80,TCP,60,0,64,S,2,512,29
192.168.167.254,192.168.167.52,80,56991,TCP,54,0,64,RA,20,0,30
192.168.167.254,192.168.167.52,80,56992,TCP,54,0,64,RA,20,0,31
192.168.167.254,192.168.167.52,80,56993,TCP,54,0,64,RA,20,0,32
192.168.167.254,192.168.167.52,80,56994,TCP,54,0,64,RA,20,0,33
192.168.167.254,192.168.167.52,80,56995,TCP,54,0,64,RA,20,0,34
192.168.167.254,192.168.167.52,80,56996,TCP,54,0,64,RA,20,0,35
192.168.167.254,192.168.167.52,80,56997,TCP,54,0,64,RA,20,0,36
192.168.167.254,192.168.167.52,80,56998,TCP,54,0,64,RA,20,0,37
192.168.167.52,192.168.167.254,56999,80,TCP,60,0,64,S,2,512,38
