src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.254,192.168.167.35,34340.0,53.0,UDP,89,0,64,None,,,0
192.168.167.35,192.168.167.254,53.0,34340.0,UDP,397,0,64,None,,,1
192.168.167.79,192.168.167.35,60897.0,53.0,UDP,71,0,64,None,,,7
192.168.167.79,192.168.167.35,60897.0,53.0,UDP,71,0,64,None,,,8
192.168.167.35,192.168.167.79,53.0,60897.0,UDP,103,0,64,None,,,12
192.168.167.35,192.168.167.79,53.0,60897.0,UDP,127,0,64,None,,,13
192.168.167.254,142.250.66.78,34652.0,443.0,TCP,996,930,64,PA,24.0,249.0,46
192.168.167.254,142.250.66.78,34652.0,443.0,TCP,354,288,64,PA,24.0,249.0,47
142.250.66.78,192.168.167.254,443.0,34652.0,TCP,66,0,115,A,16.0,964.0,48
142.250.66.78,192.168.167.254,443.0,34652.0,TCP,66,0,115,A,16.0,963.0,49
142.250.66.78,192.168.167.254,443.0,34652.0,TCP,135,69,115,PA,24.0,963.0,50
142.250.66.78,192.168.167.254,443.0,34652.0,TCP,97,31,115,PA,24.0,963.0,51
142.250.66.78,192.168.167.254,443.0,34652.0,TCP,105,39,115,PA,24.0,963.0,52
192.168.167.254,142.250.66.78,34652.0,443.0,TCP,66,0,64,A,16.0,249.0,53
192.168.167.254,142.250.66.78,34652.0,443.0,TCP,105,39,64,PA,24.0,249.0,54
142.250.66.78,192.168.167.254,443.0,34652.0,TCP,66,0,115,A,16.0,963.0,55
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22457.0,56
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,66,0,121,A,16.0,882.0,57
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,2866,2800,64,PA,24.0,22457.0,59
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,763,697,64,PA,24.0,22457.0,60
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,66,0,121,A,16.0,873.0,61
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,1540,1474,121,PA,24.0,882.0,62
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,1466,1400,121,A,16.0,882.0,63
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22446.0,64
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,2866,2800,121,A,16.0,882.0,65
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22450.0,66
