src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.254,192.168.167.52,80,18691,TCP,54,0,64,RA,20,0,0
192.168.167.52,192.168.167.254,18692,80,TCP,60,0,64,S,2,512,1
192.168.167.52,192.168.167.254,18693,80,TCP,60,0,64,S,2,512,2
192.168.167.52,192.168.167.254,18694,80,TCP,60,0,64,S,2,512,3
192.168.167.52,192.168.167.254,18695,80,TCP,60,0,64,S,2,512,4
192.168.167.52,192.168.167.254,18696,80,TCP,60,0,64,S,2,512,5
192.168.167.52,192.168.167.254,18697,80,TCP,60,0,64,S,2,512,6
192.168.167.52,192.168.167.254,18698,80,TCP,60,0,64,S,2,512,7
192.168.167.52,192.168.167.254,18699,80,TCP,60,0,64,S,2,512,8
192.168.167.254,192.168.167.52,80,18692,TCP,54,0,64,RA,20,0,9
192.168.167.254,192.168.167.52,80,18693,TCP,54,0,64,RA,20,0,10
192.168.167.254,192.168.167.52,80,18694,TCP,54,0,64,RA,20,0,11
192.168.167.254,192.168.167.52,80,18695,TCP,54,0,64,RA,20,0,12
192.168.167.254,192.168.167.52,80,18696,TCP,54,0,64,RA,20,0,13
192.168.167.254,192.168.167.52,80,18697,TCP,54,0,64,RA,20,0,14
192.168.167.254,192.168.167.52,80,18698,TCP,54,0,64,RA,20,0,15
192.168.167.254,192.168.167.52,80,18699,TCP,54,0,64,RA,20,0,16
192.168.167.52,192.168.167.254,18700,80,TCP,60,0,64,S,2,512,17
192.168.167.52,192.168.167.254,18701,80,TCP,60,0,64,S,2,512,18
192.168.167.52,192.168.167.254,18702,80,TCP,60,0,64,S,2,512,19
192.168.167.52,192.168.167.254,18703,80,TCP,60,0,64,S,2,512,20
192.168.167.52,192.168.167.254,18704,80,TCP,60,0,64,S,2,512,21
192.168.167.52,192.168.167.254,18705,80,TCP,60,0,64,S,2,512,22
192.168.167.52,192.168.167.254,18706,80,TCP,60,0,64,S,2,512,23
192.168.167.52,192.168.167.254,18707,80,TCP,60,0,64,S,2,512,24
192.168.167.254,192.168.167.52,80,18700,TCP,54,0,64,RA,20,0,25
192.168.167.254,192.168.167.52,80,18701,TCP,54,0,64,RA,20,0,26
192.168.167.254,192.168.167.52,80,18702,TCP,54,0,64,RA,20,0,27
192.168.167.254,192.168.167.52,80,18703,TCP,54,0,64,RA,20,0,28
192.168.167.254,192.168.167.52,80,18704,TCP,54,0,64,RA,20,0,29
192.168.167.254,192.168.167.52,80,18705,TCP,54,0,64,RA,20,0,30
192.168.167.254,192.168.167.52,80,18706,TCP,54,0,64,RA,20,0,31
192.168.167.254,192.168.167.52,80,18707,TCP,54,0,64,RA,20,0,32
192.168.167.52,192.168.167.254,18708,80,TCP,60,0,64,S,2,512,33
192.168.167.52,192.168.167.254,18709,80,TCP,60,0,64,S,2,512,34
