src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.52,192.168.167.254,15929,80,TCP,60,0,64,S,2,512,0
192.168.167.52,192.168.167.254,15930,80,TCP,60,0,64,S,2,512,1
192.168.167.52,192.168.167.254,15931,80,TCP,60,0,64,S,2,512,2
192.168.167.52,192.168.167.254,15932,80,TCP,60,0,64,S,2,512,3
192.168.167.52,192.168.167.254,15933,80,TCP,60,0,64,S,2,512,4
192.168.167.254,192.168.167.52,80,15926,TCP,54,0,64,RA,20,0,5
192.168.167.254,192.168.167.52,80,15927,TCP,54,0,64,RA,20,0,6
192.168.167.254,192.168.167.52,80,15928,TCP,54,0,64,RA,20,0,7
192.168.167.254,192.168.167.52,80,15929,TCP,54,0,64,RA,20,0,8
192.168.167.254,192.168.167.52,80,15930,TCP,54,0,64,RA,20,0,9
192.168.167.254,192.168.167.52,80,15931,TCP,54,0,64,RA,20,0,10
192.168.167.254,192.168.167.52,80,15932,TCP,54,0,64,RA,20,0,11
192.168.167.254,192.168.167.52,80,15933,TCP,54,0,64,RA,20,0,12
192.168.167.52,192.168.167.254,15934,80,TCP,60,0,64,S,2,512,13
192.168.167.52,192.168.167.254,15935,80,TCP,60,0,64,S,2,512,14
192.168.167.52,192.168.167.254,15936,80,TCP,60,0,64,S,2,512,15
192.168.167.52,192.168.167.254,15937,80,TCP,60,0,64,S,2,512,16
192.168.167.52,192.168.167.254,15938,80,TCP,60,0,64,S,2,512,17
192.168.167.52,192.168.167.254,15939,80,TCP,60,0,64,S,2,512,18
192.168.167.52,192.168.167.254,15940,80,TCP,60,0,64,S,2,512,19
192.168.167.52,192.168.167.254,15941,80,TCP,60,0,64,S,2,512,20
192.168.167.254,192.168.167.52,80,15934,TCP,54,0,64,RA,20,0,21
192.168.167.254,192.168.167.52,80,15935,TCP,54,0,64,RA,20,0,22
192.168.167.254,192.168.167.52,80,15936,TCP,54,0,64,RA,20,0,23
192.168.167.254,192.168.167.52,80,15937,TCP,54,0,64,RA,20,0,24
192.168.167.254,192.168.167.52,80,15938,TCP,54,0,64,RA,20,0,25
