src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.52,192.168.167.254,35283,80,TCP,60,0,64,S,2.0,512.0,0
192.168.167.254,192.168.167.52,80,35283,TCP,54,0,64,RA,20.0,0.0,1
192.168.167.52,192.168.167.254,35284,80,TCP,60,0,64,S,2.0,512.0,2
192.168.167.254,192.168.167.52,80,35284,TCP,54,0,64,RA,20.0,0.0,3
192.168.167.52,192.168.167.254,35285,80,TCP,60,0,64,S,2.0,512.0,4
192.168.167.254,192.168.167.52,80,35285,TCP,54,0,64,RA,20.0,0.0,5
192.168.167.52,192.168.167.254,35286,80,TCP,60,0,64,S,2.0,512.0,6
192.168.167.52,192.168.167.254,35287,80,TCP,60,0,64,S,2.0,512.0,7
192.168.167.254,192.168.167.52,80,35286,TCP,54,0,64,RA,20.0,0.0,8
192.168.167.254,192.168.167.52,80,35287,TCP,54,0,64,RA,20.0,0.0,9
192.168.167.52,192.168.167.254,35288,80,TCP,60,0,64,S,2.0,512.0,10
192.168.167.52,192.168.167.254,35289,80,TCP,60,0,64,S,2.0,512.0,11
192.168.167.52,192.168.167.254,35290,80,TCP,60,0,64,S,2.0,512.0,12
192.168.167.254,192.168.167.52,80,35288,TCP,54,0,64,RA,20.0,0.0,13
192.168.167.254,192.168.167.52,80,35289,TCP,54,0,64,RA,20.0,0.0,14
192.168.167.254,192.168.167.52,80,35290,TCP,54,0,64,RA,20.0,0.0,15
192.168.167.52,192.168.167.254,35291,80,TCP,60,0,64,S,2.0,512.0,16
192.168.167.254,192.168.167.52,80,35291,TCP,54,0,64,RA,20.0,0.0,17
192.168.167.52,192.168.167.254,35292,80,TCP,60,0,64,S,2.0,512.0,18
192.168.167.52,192.168.167.254,35293,80,TCP,60,0,64,S,2.0,512.0,19
192.168.167.254,192.168.167.52,80,35292,TCP,54,0,64,RA,20.0,0.0,20
192.168.167.254,192.168.167.52,80,35293,TCP,54,0,64,RA,20.0,0.0,21
192.168.167.52,192.168.167.254,35294,80,TCP,60,0,64,S,2.0,512.0,22
192.168.167.254,192.168.167.52,80,35294,TCP,54,0,64,RA,20.0,0.0,23
192.168.167.52,192.168.167.254,35295,80,TCP,60,0,64,S,2.0,512.0,24
192.168.167.254,192.168.167.52,80,35295,TCP,54,0,64,RA,20.0,0.0,25
192.168.167.52,192.168.167.254,35296,80,TCP,60,0,64,S,2.0,512.0,26
192.168.167.52,192.168.167.254,35297,80,TCP,60,0,64,S,2.0,512.0,27
192.168.167.254,192.168.167.52,80,35296,TCP,54,0,64,RA,20.0,0.0,28
