src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,0
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,1
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,2
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,3
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,4
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,5
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,6
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,7
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,8
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,2866,2800,122,A,16.0,1148.0,9
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22243.0,10
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,8831.0,11
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,2866,2800,122,PA,24.0,1148.0,12
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,13
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,14
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,9058.0,15
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22436.0,16
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,17
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,2866,2800,121,PA,24.0,882.0,18
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,19
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,20
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,21
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,22
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,23
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,24
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,1466,1400,121,A,16.0,882.0,25
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,1466,1400,122,A,16.0,1148.0,26
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22250.0,27
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,8965.0,28
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,4266,4200,122,PA,24.0,1148.0,29
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,30
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,31
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,9047.0,32
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,33
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,34
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,4266,4200,121,PA,24.0,882.0,35
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,36
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22443.0,37
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22416.0,38
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,8882.0,39
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,2866,2800,122,PA,24.0,1148.0,40
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,41
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,42
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,9058.0,43
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22436.0,44
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,45
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,46
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,47
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,2866,2800,121,PA,24.0,882.0,48
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,49
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,50
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,51
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22312.0,52
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,53
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,54
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,55
211.77.50.173,192.168.167.254,443.0,57986.0,TCP,5666,5600,122,PA,24.0,1148.0,56
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,57
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,2866,2800,121,A,16.0,882.0,58
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22243.0,59
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,2866,2800,121,PA,24.0,882.0,60
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,61
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,62
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22354.0,63
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22298.0,64
192.168.167.254,211.77.50.173,57986.0,443.0,TCP,66,0,64,A,16.0,8810.0,65
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,66
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,67
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22436.0,68
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,69
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,70
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,71
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,2866,2800,121,PA,24.0,882.0,72
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,73
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,74
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22257.0,75
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,76
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,77
192.168.167.254,211.77.55.108,50232.0,443.0,TCP,66,0,64,A,16.0,22436.0,78
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,79
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,80
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,81
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,82
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,83
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,84
211.77.55.108,192.168.167.254,443.0,50232.0,TCP,5666,5600,121,PA,24.0,882.0,85
