src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.254,192.168.167.52,44467,59087,TCP,54,0,64,RA,20,0,0
192.168.167.254,192.168.167.52,18430,59087,TCP,54,0,64,RA,20,0,1
192.168.167.254,192.168.167.52,52565,59087,TCP,54,0,64,RA,20,0,2
192.168.167.254,192.168.167.52,38560,59087,TCP,54,0,64,RA,20,0,3
192.168.167.254,192.168.167.52,6706,59087,TCP,54,0,64,RA,20,0,4
192.168.167.52,192.168.167.254,59087,54573,TCP,60,0,56,S,2,1024,5
192.168.167.52,192.168.167.254,59087,35356,TCP,60,0,57,S,2,1024,6
192.168.167.52,192.168.167.254,59087,2063,TCP,60,0,47,S,2,1024,7
192.168.167.52,192.168.167.254,59087,20360,TCP,60,0,46,S,2,1024,8
192.168.167.52,192.168.167.254,59087,48452,TCP,60,0,54,S,2,1024,9
192.168.167.52,192.168.167.254,59087,16827,TCP,60,0,51,S,2,1024,10
192.168.167.52,192.168.167.254,59087,5231,TCP,60,0,39,S,2,1024,11
192.168.167.52,192.168.167.254,59087,1816,TCP,60,0,38,S,2,1024,12
192.168.167.254,192.168.167.52,54573,59087,TCP,54,0,64,RA,20,0,13
192.168.167.254,192.168.167.52,35356,59087,TCP,54,0,64,RA,20,0,14
192.168.167.254,192.168.167.52,2063,59087,TCP,54,0,64,RA,20,0,15
192.168.167.254,192.168.167.52,20360,59087,TCP,54,0,64,RA,20,0,16
192.168.167.254,192.168.167.52,48452,59087,TCP,54,0,64,RA,20,0,17
192.168.167.254,192.168.167.52,16827,59087,TCP,54,0,64,RA,20,0,18
192.168.167.254,192.168.167.52,5231,59087,TCP,54,0,64,RA,20,0,19
192.168.167.254,192.168.167.52,1816,59087,TCP,54,0,64,RA,20,0,20
192.168.167.52,192.168.167.254,59087,2019,TCP,60,0,50,S,2,1024,21
192.168.167.52,192.168.167.254,59087,61229,TCP,60,0,47,S,2,1024,22
192.168.167.52,192.168.167.254,59087,18985,TCP,60,0,58,S,2,1024,23
192.168.167.254,192.168.167.52,2019,59087,TCP,54,0,64,RA,20,0,24
192.168.167.254,192.168.167.52,61229,59087,TCP,54,0,64,RA,20,0,25
192.168.167.254,192.168.167.52,18985,59087,TCP,54,0,64,RA,20,0,26
192.168.167.52,192.168.167.254,59087,40259,TCP,60,0,53,S,2,1024,27
192.168.167.52,192.168.167.254,59087,29853,TCP,60,0,58,S,2,1024,28
192.168.167.52,192.168.167.254,59087,4630,TCP,60,0,43,S,2,1024,29
192.168.167.52,192.168.167.254,59087,6269,TCP,60,0,56,S,2,1024,30
192.168.167.52,192.168.167.254,59087,1719,TCP,60,0,50,S,2,1024,31
192.168.167.52,192.168.167.254,59087,30783,TCP,60,0,43,S,2,1024,32
