src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
0.0.0.0,3,2.0,0.816496580927726,1,3,2.9351116272288817
10.117.0.253,4,2.409090909090909,1.1143318792846604,1,22,0.29345623402353255
10.117.238.64,1373,244.74599489795918,257.3950106884873,67,39200,3.6945170123227986
104.199.241.202,2,1.1923076923076923,0.3941134909984461,1,26,0.026725065031255074
108.177.97.109,5,2.25,1.2332207155790618,1,12,0.02334391941822046
13.114.197.251,18,8.7,5.478138369920935,1,20,0.10520710065797115
13.89.179.8,13,6.333333333333333,3.893013685508382,1,15,0.10885248866801644
140.112.254.4,18,4.341346153846154,3.843553808674664,1,208,0.19775740966692945
140.82.112.21,2,1.5,0.5,1,2,9.165983150490744
140.82.113.26,5,2.464,1.1352109936042727,1,125,0.12238409724252902
142.250.157.84,18,9.052631578947368,5.394672656871058,1,19,1.7067836616240055
142.250.196.195,9,4.6,2.727636339397171,1,10,0.040812384421794065
142.250.196.202,10,4.923076923076923,2.730498361430592,1,13,1.2767563752090996
142.250.196.206,296,72.83369447453954,61.36176734730398,1,1846,1.5220385862802122
142.250.198.65,83,30.86021505376344,25.13216308754836,1,279,0.8415757873870602
142.250.198.67,162,71.9627659574468,49.586950248050854,1,188,0.23424311923448135
142.250.198.78,16,7.0,4.420233199556505,1,26,0.0635694349258646
142.250.204.46,119,48.44368600682594,31.538606323083336,1,293,0.5523188969996226
142.250.66.74,7,3.7,1.7349351572897473,1,10,1.0733882515634123
142.250.66.78,15,7.533333333333333,4.295216978091897,1,30,0.04774704258210135
142.250.66.86,601,196.41344583560152,152.1440838743602,1,3674,2.833495694814834
142.250.77.10,15,7.166666666666667,4.362084109434134,1,18,1.5188751854266729
142.250.77.14,17,8.757575757575758,4.76750556104173,1,33,0.07151312724836209
142.251.170.109,168,83.74897959183673,42.21814399795704,1,490,2.3738711036394906
142.251.85.198,13,7.0,3.7416573867739413,1,13,5.749623734874961
142.251.91.104,4394,1950.029277486911,1064.6675533043444,1,23875,6.723660348656679
147.92.249.185,13,3.8214285714285716,3.3811829230586854,1,84,0.0886346489213583
156.146.44.69,776,171.98952341041564,115.43714213746644,1,52498,3.98029790030717
163.28.19.8,6428,1655.686311032398,1460.146297738522,1,32749,4.9810500178583075
163.28.19.9,3933,1362.2338787962835,946.656682784629,1,14422,4.6764591849050525
163.28.5.24,9023,3621.59284030217,2276.438884451009,1,20783,4.085086763071936
163.28.5.27,119,48.73142857142857,33.932569869657435,1,175,0.4002008008805072
168.95.1.1,2,1.3333333333333333,0.4714045207910317,1,3,0.0632561643114697
17.248.223.130,9,4.2592592592592595,2.4734530158613333,1,27,0.033483191684474015
17.248.223.65,63,14.194888178913738,13.872665082423547,1,313,0.28619486508408176
17.248.223.66,22,9.0625,5.923668099243914,1,64,0.08744748439038036
17.250.122.136,137,22.454183266932272,33.50666757540818,1,753,0.567851407527841
17.253.117.201,3,1.75,0.7216878364870323,1,12,0.2459117901884845
17.253.117.202,7,3.625,2.117634293262177,1,8,0.2296617681366366
17.253.117.21,27,10.796296296296296,7.8878237848190205,1,108,0.14667488239656992
17.57.145.26,13,4.676470588235294,3.340663796624276,1,34,0.04514268523366848
172.217.145.104,13,7.0,3.7416573867739413,1,13,5.334227944103969
185.125.190.56,1,1.0,0.0,1,1,0.6931471805599453
20.189.173.16,13,7.0,3.7416573867739413,1,13,2.0354179159159176
20.42.65.89,21,10.35,5.654865161964518,1,40,1.7992782339543543
210.71.227.161,6433,3216.035431235431,1857.564204929295,1,6435,7.656490466956315
216.239.34.180,22,11.5,6.34428877022476,1,22,2.8202639516595536
23.58.97.45,10,4.166666666666667,2.7131367660166177,1,18,0.20182563191092107
35.186.224.22,12,5.785714285714286,3.082482875908982,1,42,0.0639093966568765
35.186.224.24,47,11.444141689373296,11.20439346786112,1,367,0.3180298819250824
35.186.224.40,3,1.1917808219178083,0.4270810210443807,1,73,0.07276785880685512
51.116.246.105,16,8.058823529411764,4.807721586282953,1,17,0.12527128806614493
52.168.117.170,55,19.246031746031747,14.186225438412729,1,126,0.6701210626219867
64.233.187.84,17,8.757575757575758,4.76750556104173,1,33,0.09165929361847007
64.233.188.108,10,4.9743589743589745,2.768755894706275,1,39,0.04113732790494043
74.125.109.134,26,13.5,7.5,1,26,3.5880911679950835
