src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
123.182.95.190,78,31.72897196261682,23.967489699477103,1,107,0.10816000204055491
13.35.166.112,419,167.0578386605784,118.67420710055343,1,657,2.43860751114598
13.89.179.11,7,3.625,2.117634293262177,1,8,0.06155053029977253
140.112.145.141,10,3.5238095238095237,2.822006169529344,1,21,0.1343674356679177
140.112.145.153,193,75.91142857142857,50.309960794081725,1,700,2.619424735813556
140.112.247.131,7,3.911764705882353,1.9609068589156806,1,34,0.024063627263916944
140.112.247.189,7,3.769230769230769,1.8873606379054304,1,26,0.01584518070913976
140.112.247.49,9,3.981818181818182,2.0404180417561415,1,110,0.059546280624285304
140.82.113.21,14,5.85,4.257640191467569,1,20,0.15346173235474103
140.82.114.25,4,1.7272727272727273,0.9620913858416692,1,11,0.0723553266266781
142.250.157.84,13,7.0,3.7416573867739413,1,13,6.385494102798873
142.250.196.194,11,6.0,3.1622776601683795,1,11,6.2288779980396125
142.250.196.195,14,6.783783783783784,3.735405004526971,1,37,0.0964523653576203
142.250.196.196,421,158.13504823151126,121.35119497953546,1,933,1.9733431997390347
142.250.196.198,13,7.0,3.7416573867739413,1,13,6.987880267720437
142.250.196.200,109,55.0,31.464265445104548,1,109,7.4087371336962295
142.250.196.202,24,8.627906976744185,6.877747250892593,1,43,0.37237055589475637
142.250.196.206,135,64.60919540229885,42.0159674961791,1,435,0.5132532852853243
142.250.196.209,20,10.5,5.766281297335398,1,20,5.918197342350559
142.250.198.65,13,7.0,3.7416573867739413,1,13,5.762840797970799
142.250.198.67,120,49.01948051948052,37.526695394913304,1,154,0.28855704517979314
142.250.198.68,11,6.0,3.1622776601683795,1,11,6.627944417956679
142.250.198.74,17,9.0,4.898979485566356,1,17,5.04391574500884
142.250.198.78,132,52.361111111111114,43.08234829449181,1,324,0.1761309616110573
142.250.204.35,265,102.47380952380952,76.28406673656355,1,420,1.6821284217051704
142.250.204.42,17,7.529411764705882,4.729353233468655,1,68,0.036694247856469776
142.250.204.46,40,17.086206896551722,11.231551129954402,1,58,1.0411445129412855
142.250.66.66,17,9.0,4.898979485566356,1,17,2.9967434718170716
142.250.66.74,23,8.952380952380953,5.570410977481813,1,63,0.0301500278611927
142.250.66.86,108,44.65217391304348,33.427761649522544,1,138,1.1346285520031252
142.250.77.10,42,21.5,12.120918557051139,1,42,4.293677747727593
142.250.77.14,218,57.91228070175438,55.84668257334111,1,855,1.661921500641485
142.250.77.3,10,5.5,2.8722813232690143,1,10,6.47112155457323
163.28.19.8,660,330.5,190.5253701391672,1,660,6.824427853060115
163.28.19.9,12,6.5,3.452052529534663,1,12,7.194064587991926
163.28.224.190,11,4.882352941176471,3.0783689265553513,1,51,0.13003927532819531
163.28.224.33,388,167.1726057906459,111.68622650824422,1,898,1.6071142812619565
163.28.224.57,40,14.824742268041238,9.966966376385908,1,97,0.813156874967623
163.28.224.7,50,17.302083333333332,14.277838153109485,1,96,0.04874709734081124
163.28.5.139,174,87.5,50.22864388639879,1,174,5.384942568880604
17.111.103.20,229,75.83812949640287,61.20092266159647,1,834,2.4711255494996074
17.145.16.2,24,12.5,6.922186552431729,1,24,4.330163155647305
17.188.23.52,9,4.285714285714286,2.4327694808466287,1,14,0.3790647609962703
17.23.96.10,9,4.230769230769231,2.516219574430173,1,13,0.3545563520871422
