src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
10.5.0.166,8,4.5,2.29128784747792,2,8,1.6176436864632058
10.5.0.24,3,2.0,0.816496580927726,1,3,1.0336742407986899
10.5.0.48,2,1.5,0.5,1,2,3.066256756311292
10.5.0.59,4,2.5,1.118033988749895,3,4,2.063346723871916
10.5.3.148,7,4.0,2.0,2,7,1.4694907710442526
10.5.3.43,5,3.0,1.4142135623730951,1,5,2.021767825814943
10.5.5.26,1,1.0,0.0,1,1,0.6931471805599453
10.5.5.40,1,1.0,0.0,1,1,0.6931471805599453
10.5.5.83,25,13.115384615384615,7.094564132960276,3,26,2.2518859746113717
10.5.6.205,6,3.5,1.707825127659933,2,6,1.2540053816321428
10.5.6.61,22,11.714285714285714,5.693712966679896,7,28,2.2794962962497802
10.5.7.252,3,2.0,0.816496580927726,1,3,0.8806626526032294
10.5.7.56,6,3.5,1.707825127659933,1,6,1.7480674004264265
140.112.31.46,1,1.0,0.0,1,1,0.6931471805599453
17.248.223.66,2,1.5,0.5,1,2,8.056996691797272
31.13.87.1,8,4.5,2.29128784747792,1,8,1.714756683567173
