src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
10.129.219.246,217,51.890781563126254,53.8683273229039,22,998,2.147492882155891
10.129.236.81,9,4.363636363636363,2.705977466570403,1,11,1.49694819810934
13.107.246.73,49,22.267857142857142,15.088419248157285,1,56,0.48360675944276643
140.112.254.4,15,4.8,4.452714527865745,1,30,0.2930864810706457
140.82.113.22,13,7.0,3.7416573867739413,1,13,3.369742098053134
140.82.113.25,8,4.5,2.29128784747792,1,8,2.972304239826058
140.82.114.26,4,1.8888888888888888,0.9938079899999066,1,9,0.11835566917039005
142.250.196.195,11,5.761904761904762,3.037931030045063,1,21,0.3626004040072059
142.250.196.202,20,9.121212121212121,5.3470896969970365,1,33,0.49088966682980656
142.250.198.74,10,5.5,2.8722813232690143,1,10,6.075283579150823
142.250.204.42,9,5.0,2.581988897471611,1,9,5.917274114276385
17.248.223.65,61,30.095238095238095,18.031466575075708,1,63,3.2336913057640078
17.248.223.66,12,5.5,3.5,1,16,1.766721237909889
172.64.155.209,9,5.0,2.581988897471611,1,9,4.563584217267797
18.65.3.81,22,11.666666666666666,5.497474167490215,1,33,2.516627462958788
185.199.108.133,18,9.5,5.188127472091127,1,18,5.519258191130144
20.27.177.113,123,62.0,35.505868059613285,1,123,4.377831858198515
20.27.177.116,13,5.260869565217392,3.565747574576117,1,23,1.0732781188695035
20.50.73.10,7,3.2666666666666666,1.8061622912192088,1,15,0.4129972559792443
31.13.87.1,30,7.404651162790698,6.659071570469729,1,215,0.9675180692604248
31.13.87.4,26,8.591623036649215,5.986086221881906,1,191,0.9072501420142111
31.13.87.53,2,1.3333333333333333,0.4714045207910317,1,9,0.0828079214935894
52.39.98.168,23,10.436363636363636,6.744057684331206,1,55,0.4770938834976622
