src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
10.10.4.19,18,8.85483870967742,5.18946443315856,1,62,1.050442785753574
10.117.238.64,3923,670.2251709218218,916.0418660988109,119,60554,3.9067922026935804
104.116.243.83,8,4.5,2.29128784747792,1,8,4.880737800003054
104.116.243.9,26,11.625,7.841197293781097,1,32,0.7084316279860411
104.116.243.98,154,76.52564102564102,44.98909393738703,1,156,0.8291639495193237
104.16.118.43,12,6.5,3.452052529534663,1,12,3.2730460115782325
104.16.191.158,32085,19042.588492856044,8444.926663236256,1,65090,4.062604026944388
104.16.32.241,851,418.93425605536333,249.63651835179104,1,867,4.050057819744059
104.18.35.23,4,2.5,1.118033988749895,1,4,5.907090428043992
104.18.36.86,9,5.0,2.581988897471611,1,9,4.2632187316640024
104.18.37.207,22,11.5,6.34428877022476,1,22,2.904228389217031
104.18.37.23,65,33.0,18.76166303929372,1,65,4.192321575122747
104.18.38.136,191,96.0,55.136195008360886,1,191,7.393049590512781
104.18.38.97,184,91.95811518324608,54.79097189942033,1,191,1.6946913695338248
104.18.40.238,16,8.5,4.6097722286464435,1,16,3.9441223400580143
104.199.241.202,3,1.21875,0.4831132760543846,1,32,0.026140645485198934
104.22.59.181,7,4.0,2.0,1,7,5.348235200610435
108.177.125.109,33,17.0,9.521904571390467,1,33,3.559825746919809
108.177.97.84,15,6.769230769230769,4.088517620282557,1,26,0.07817127397852279
13.107.246.73,12,5.785714285714286,3.648455082606324,1,14,0.3725517039022902
13.107.5.93,43,17.074074074074073,11.995655363482701,1,81,0.09300234599926706
13.114.197.251,8,4.5,2.29128784747792,1,8,3.8809596424881465
140.112.253.87,6,3.5,1.707825127659933,1,6,5.426070068204451
140.112.254.4,110,20.503614457831326,27.749123271868992,1,415,0.297088056900918
140.112.30.186,1790,204.21458674202984,342.36576505846585,1,20169,2.866545058420459
140.82.114.22,15,7.0,4.546060565661952,1,18,0.13945551345093207
140.82.114.26,9,2.712328767123288,1.642579428698476,1,73,0.0653803681224596
142.250.157.84,16,6.53125,4.168215857834141,1,32,0.15267047110377222
142.250.196.195,11,5.142857142857143,3.2701494692170274,1,14,0.33061332740062127
142.250.196.196,394,183.47529411764705,120.38929003165214,1,425,0.3480796181383022
