src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
10.10.4.19,3,2.0,0.816496580927726,1,3,7.5861812188728335
10.117.238.64,1298,150.85982208187315,196.5007276791837,216,51934,2.960229821880111
101.205.49.56,194,82.65566714490674,54.20130076362406,1,697,2.5190778604430637
101.91.133.30,94,24.386706948640484,22.9569741728726,1,1324,0.3863485591469161
101.91.134.222,20,7.242718446601942,4.492639113291995,1,206,0.10230666603716615
101.91.136.148,26,6.093023255813954,6.003154029490227,1,129,0.05941883593901053
103.151.151.130,105,26.84664536741214,27.490378158591245,1,313,0.1251846464732165
103.151.151.131,196,62.36637168141593,55.8710772781037,1,565,0.6862563096702026
103.151.151.133,5,2.5714285714285716,1.3997084244475304,1,7,1.1515014654129578
103.151.151.134,14,6.75,4.264680527307995,1,16,0.2361237396543923
103.151.151.2,179,35.6939477303989,44.199488432281626,1,1454,0.4330452632197479
103.151.151.3,196,79.50050352467271,61.97529191056737,1,993,0.3710292637436884
103.151.151.4,19,10.0,5.477225575051661,1,19,5.404264046388418
103.151.151.5,223,89.4710391822828,63.07479481129837,1,1174,0.6879966619235861
103.151.151.6,224,43.60511363636363,55.81798182541935,1,2112,0.6664036878706735
104.116.243.17,16,8.5,4.6097722286464435,1,16,4.530451208707615
104.116.243.19,16,8.5,4.6097722286464435,1,16,4.719104534357492
104.116.243.26,22,11.5,6.34428877022476,1,22,3.9783465805152014
104.116.243.9,35,15.130434782608695,10.305356765868597,1,46,0.9112801943128849
104.18.38.233,5,2.6666666666666665,1.4907119849998598,1,6,0.17787137629592337
104.199.241.202,3,1.2280701754385965,0.49621528504319123,1,57,0.020890049405179873
104.208.16.88,14,7.066666666666666,4.2184778718817,1,15,1.453801496797387
108.177.125.108,7,3.5384615384615383,1.78089798504465,1,13,0.022710660549009973
108.177.97.84,15,6.454545454545454,4.345606691897135,1,22,0.06656538856509418
113.219.32.75,3,2.0,0.816496580927726,1,3,2.9251148164024245
114.226.48.16,13,7.0,3.7416573867739413,1,13,2.301546787851822
117.139.69.82,3,2.0,0.816496580927726,1,3,1.7580142069631404
117.153.202.154,4,2.5,1.118033988749895,1,4,1.6735292104335378
117.191.153.16,7,4.0,2.0,1,7,4.433366176375346
117.191.153.60,11,6.0,3.1622776601683795,1,11,2.43868413750396
119.7.239.61,22,11.5,6.34428877022476,1,22,2.665685769954108
123.158.59.178,14,7.5,4.031128874149275,1,14,3.7593103505952525
124.129.69.148,18,9.5,5.188127472091127,1,18,2.819546209207665
125.75.115.153,4,2.2,1.16619037896906,1,5,0.2411162278957339
13.107.246.73,12,5.785714285714286,3.648455082606324,1,14,0.371552126083234
13.107.5.93,41,17.527131782945737,11.807288196873515,1,129,0.06902372932069176
13.114.197.251,6,3.5,1.707825127659933,1,6,3.861597469826844
138.113.119.195,11,5.066666666666666,3.172100600898752,1,15,0.22279529077500707
138.113.153.220,575,263.9247648902821,175.82771735198077,1,638,0.4729524628257914
140.112.253.87,8,3.977777777777778,2.0054247418095072,1,90,0.03768447020414465
140.112.254.4,33,5.181132075471698,4.788602424905823,1,795,0.24869291688743866
140.82.112.25,7,2.475609756097561,1.3087473973799224,1,82,0.06024747162534008
140.82.112.26,7,3.4444444444444446,2.060804110110156,1,9,0.13885109472857127
140.82.114.26,21,4.0636363636363635,4.403051158473206,1,110,0.03987086981325918
142.250.157.84,16,7.111111111111111,4.37444881889545,1,27,0.08103652762582841
142.250.157.95,14,6.111111111111111,4.408185427750527,1,18,0.18220868625972939
142.250.196.193,27,11.012987012987013,7.333420219564297,1,77,1.2677409419821113
142.250.196.195,25,13.0,7.211102550927978,1,25,2.912347188933848
142.250.196.196,16,6.12280701754386,4.11275370011936,1,57,0.02602444917427576
142.250.196.202,156,69.51098901098901,48.46600020576212,1,182,0.33667701921395476
142.250.198.65,123,56.277027027027025,36.917698997493595,1,148,2.9991497490812575
142.250.198.67,15,6.846153846153846,3.977748761183968,1,39,0.02143323656451983
142.250.198.68,69,23.357142857142858,21.58366493060747,1,112,0.15557250984340368
142.250.198.74,29,10.455696202531646,7.6585312211069,1,79,0.031856937108997604
142.250.198.78,146,51.33627204030227,38.846420064729124,1,794,0.25670031905354107
142.250.198.86,445,157.78999241849885,108.99488002908626,1,1319,3.792614304946958
142.250.204.34,10,5.090909090909091,3.0287874998104876,1,11,0.044802363077362385
142.250.204.35,9,4.6,2.727636339397171,1,10,0.040813775661887736
142.250.204.42,36,14.56,10.989376688420503,1,50,0.10439555926085728
142.250.204.46,206,96.22421524663677,62.52923223960013,1,223,0.20525320529069868
142.250.66.74,11,5.357142857142857,3.0614455702481203,1,14,1.3029652799348317
142.250.77.1,27,13.535714285714286,8.019984604799719,1,28,0.11032278583471684
142.250.77.10,2,1.5,0.5,1,2,7.1725587910689885
142.250.77.14,112,54.930348258706466,34.52254471948101,1,402,0.21666509280574583
142.250.77.3,20,9.578947368421053,5.547078790002273,1,38,0.020858326856577063
142.251.170.84,15,6.782608695652174,4.096196769848305,1,23,0.25540072806256636
147.92.146.114,8,4.5,2.29128784747792,1,8,4.020740160380454
147.92.146.138,118,19.254510921177587,27.27246002917326,1,1053,0.32708745093384517
147.92.249.185,162,53.79272727272727,49.61719589946232,1,275,1.1977404121267317
151.101.3.6,15,7.535714285714286,4.092520554596631,1,28,0.014925273108091311
155.102.4.140,200,81.9198606271777,57.468766150905,1,287,1.1452002624341207
155.102.4.145,37,17.317073170731707,11.364126321166381,1,41,0.2861940615122646
155.102.4.146,12,5.235294117647059,3.5567568136072882,1,17,0.127935136843978
156.146.44.87,12,2.599264705882353,1.533114684494656,1,272,0.47577554113928466
156.227.14.33,38,12.1660777385159,10.153798632301845,1,283,0.10122867604539676
157.185.135.109,605,246.46596858638745,190.92951920170927,1,764,1.8055340102492443
162.128.154.153,96,47.09090909090909,28.42892640866537,1,99,0.6014426433743598
163.28.19.9,1396,610.1707021791767,425.00221752874364,1,1652,0.5142963697494878
163.28.224.237,10,5.5,2.8722813232690143,1,10,3.638369552044963
163.28.224.7,25,9.97872340425532,6.706584131339056,1,94,0.044289907561267355
163.28.224.98,10,5.5,2.6299556396765835,1,12,1.6275194962335306
163.28.225.61,37,18.102564102564102,11.093529811641934,1,39,0.9567990125285009
163.28.226.7,30,15.5,8.65544144839919,1,30,4.953663172228837
163.28.5.24,27,14.0,7.788880963698615,1,27,4.982667757597315
168.95.1.1,7,2.263157894736842,1.4988453543050675,1,38,0.013691562262932486
17.138.144.4,35,18.0,10.099504938362077,1,35,4.081120638669015
17.138.176.4,23,12.0,6.6332495807108,1,23,4.2531676976678625
17.156.129.37,14,6.315789473684211,4.05297332803757,1,19,0.48274557752305663
17.188.183.4,12,6.5,3.452052529534663,1,12,3.754143867739483
17.23.112.11,41,17.62962962962963,12.062025344791039,1,54,0.9917850709598888
17.23.96.15,8,3.8333333333333335,2.1921577396609844,1,12,0.3305525152843115
17.248.154.40,42,21.023255813953487,12.371174996540319,1,43,0.8676140578855904
17.248.223.129,19,8.533333333333333,5.13636274246886,1,30,0.6788992027408566
17.248.223.130,23,10.030303030303031,6.487679925617751,1,33,0.740957952344754
17.248.223.65,49,13.604790419161677,10.557205493421419,1,334,0.1123408114165649
17.248.223.66,97,20.4,20.311010384940055,1,525,0.2095301288017318
17.250.122.132,16,6.478260869565218,4.950797610024604,1,23,0.274333943757339
17.250.122.137,53,6.464757709251101,10.579772084700249,1,454,0.14968661891812554
17.253.117.19,27,10.39090909090909,7.80919673967869,1,110,0.21493970680858102
17.253.117.201,42,21.5,12.120918557051139,1,42,5.102441955583379
17.253.117.202,20,8.279069767441861,5.118709781999933,1,43,0.02222009017499599
17.253.117.203,13,6.0625,3.9126198064723847,1,16,0.2322567444964235
17.253.117.204,16,7.473684210526316,4.859807458311075,1,19,0.2736279287246256
17.253.117.23,22,8.447368421052632,6.289914100413591,1,38,0.607604252712318
17.253.117.27,31,12.82857142857143,7.852154260495157,1,70,0.03579056460566061
17.253.117.31,51,12.993690851735016,11.140341813209902,1,317,0.17504213735562182
17.253.145.10,13,6.76,3.6141942393844855,1,25,0.026101426215864428
17.253.84.251,1,1.0,0.0,1,1,0.6931471805599453
17.253.84.253,1,1.0,0.0,1,1,0.6931471805599453
17.57.145.25,51,12.350993377483444,14.576220622043037,1,151,0.06447795366069797
17.8.131.101,48,17.06741573033708,13.459717472708922,1,89,1.236175031677842
171.95.247.36,1,1.0,0.0,1,4,0.34483507771073296
172.64.69.66,10,4.75,3.112474899497183,1,12,0.2608016924444448
174.35.76.111,12,5.360655737704918,3.539161644200298,1,61,0.024108834940496746
