src_ip,packet_count_5s_max,packet_count_5s_mean,packet_count_5s_std,unique_dst_ip_count,log_src_ip_avg_freq
137.184.249.78,17,7.541666666666667,4.83027920748089,1,1.3610932798982678
185.125.188.54,18,8.409090909090908,5.25408145167416,1,1.5357489098573607
185.125.188.58,8,4.5,2.29128784747792,1,2.20068370890956
185.125.190.58,1,1.0,0.0,1,0.6931471805599453
192.168.167.253,267692,133786.53419562976,77310.60595727799,7,7.7342660270621755
192.168.167.34,3,1.59375,0.6051536478449089,1,0.24914100187592395
192.168.167.35,27,10.045454545454545,7.484189027506523,3,0.45569791794711834
192.168.167.52,267692,133813.01140577908,77295.34561584804,6,7.920953060788429
207.211.208.136,8,4.5,2.29128784747792,1,0.9904293261980623
34.107.243.93,1,1.0,0.0,1,0.6931471805599453
34.120.208.123,4,2.0,1.0690449676496976,1,0.058189967917461116
34.36.137.203,5,3.0,1.4142135623730951,1,3.2841971005937696
