src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
10.117.238.64,5254,577.4907289281907,983.9184272913286,142,57221,3.830425038972487
101.91.133.30,11,4.647058823529412,3.1981828750748673,1,17,0.1810293935932844
101.91.134.222,6,3.5,1.707825127659933,1,6,3.6227817640907722
101.91.136.148,6,3.5,1.707825127659933,1,6,3.200046455002473
103.151.151.130,43,19.436363636363637,12.248582309599806,1,55,0.6303276466025325
103.151.151.4,15,7.0,4.546060565661952,1,18,0.2615240103653158
103.151.151.5,33,15.071428571428571,10.022338994045484,1,42,0.5143586700010361
104.116.243.19,21,11.0,6.0553007081949835,1,21,3.5852394233620073
104.116.243.27,17,9.0,4.898979485566356,1,17,5.035656829940193
104.16.191.158,9,3.8666666666666667,2.526306042866189,1,15,0.08291696507357661
104.16.32.241,11,5.0625,3.0714155938264036,1,16,0.26307499442994015
104.18.32.137,9,5.0,2.581988897471611,1,9,5.172819499092102
104.18.35.23,9,4.555555555555555,2.543449587168799,1,18,0.04186451157349345
104.18.40.222,386,193.5,111.42822802144886,1,386,5.543485406607587
104.18.41.33,15,8.0,4.320493798938574,1,15,2.95409950524933
104.18.43.226,13,7.0,3.7416573867739413,1,13,3.114737952544482
104.18.86.42,164,82.5,47.341841958250846,1,164,5.4830676648107195
104.199.241.202,2,1.096774193548387,0.29565004483586066,1,31,0.024445689202832264
107.155.58.219,50,25.5,14.430869689661812,1,50,5.608661583286756
13.107.5.93,32,14.029411764705882,9.259288799132683,1,68,0.07863941511362804
13.114.197.251,19,9.186046511627907,5.323295945067012,1,43,0.06906145888593314
13.35.7.93,1,1.0,0.0,1,1,0.6931471805599453
138.113.153.220,353,175.52528089887642,102.72488036629399,1,356,1.935299051797112
140.112.254.4,39,10.059734513274336,9.21707092246196,1,452,0.3185421668889081
140.112.30.186,2579,390.99573090959166,649.9285272457313,1,14523,2.5296000063653166
140.112.30.26,1518,679.0853302162478,470.5349440499147,1,1711,1.6290364395668733
