src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index,log_src_ip_avg_freq
2e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,1,4.821797513134397
0.000344,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,3,4.821797513134397
0.000599,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,4,4.821797513134397
2e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,5,4.821797513134397
1e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,6,4.821797513134397
1e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,7,4.821797513134397
2e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,8,4.821797513134397
0.000861,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20851.0,9,4.212036634470622
0.101289,10.5.6.74,10.5.1.189,50502.0,7000.0,TCP,78,0,64,S,2.0,65535.0,13,4.212036634470622
0.090639,10.5.5.83,224.0.0.251,5353.0,5353.0,UDP,441,0,255,,,,14,0.8158144439481999
0.339411,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,18,4.821797513134397
0.339302,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20851.0,20,4.212036634470622
0.001153,10.5.5.90,10.5.7.255,137.0,137.0,UDP,92,0,128,,,,27,0.2317239092398764
0.116273,10.5.6.74,10.5.1.189,7000.0,51339.0,TCP,54,0,64,R,4.0,0.0,34,4.212036634470622
0.162411,10.5.6.74,17.248.164.109,49218.0,443.0,TCP,90,24,64,PA,24.0,2342.0,37,4.212036634470622
0.000452,10.5.6.74,17.248.164.109,49218.0,443.0,TCP,66,0,64,FA,17.0,2342.0,38,4.212036634470622
0.324735,10.5.6.74,34.237.73.95,50397.0,443.0,TCP,307,241,64,PA,24.0,2048.0,43,4.212036634470622
0.056269,10.5.6.74,10.5.1.189,50502.0,7000.0,TCP,78,0,64,S,2.0,65535.0,44,4.212036634470622
0.628335,10.5.1.189,224.0.0.251,5353.0,5353.0,UDP,259,0,255,,,,48,0.29428303278331863
0.206485,10.5.6.74,10.5.5.238,5353.0,5353.0,UDP,396,0,255,,,,50,4.212036634470622
0.922147,10.5.5.90,224.0.0.251,5353.0,5353.0,UDP,75,0,1,,,,52,0.2317239092398764
0.001861,10.5.5.90,224.0.0.251,5353.0,5353.0,UDP,75,0,1,,,,53,0.2317239092398764
0.005501,10.5.5.90,10.5.7.255,137.0,137.0,UDP,92,0,128,,,,56,0.2317239092398764
1.119876,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,57,4.821797513134397
0.152176,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,78,0,64,A,16.0,20851.0,58,4.212036634470622
0.001169,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,59,4.821797513134397
3e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,60,4.821797513134397
4e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,61,4.821797513134397
0.275439,10.5.1.189,10.5.6.74,7000.0,50502.0,TCP,78,0,64,SA,18.0,65535.0,62,0.29428303278331863
0.001146,10.5.6.74,10.5.1.189,50502.0,7000.0,TCP,66,0,64,A,16.0,2058.0,63,4.212036634470622
5.3e-05,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20783.0,64,4.212036634470622
0.000125,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20851.0,65,4.212036634470622
1e-05,10.5.6.74,10.5.1.189,50502.0,7000.0,TCP,107,41,64,PA,24.0,2058.0,66,4.212036634470622
0.046125,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,68,4.821797513134397
2e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,69,4.821797513134397
0.045869,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20806.0,70,4.212036634470622
8.4e-05,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20851.0,71,4.212036634470622
0.044286,10.5.6.74,8.8.8.8,6037.0,53.0,UDP,70,0,64,,,,72,4.212036634470622
7.1e-05,10.5.6.74,8.8.8.8,30534.0,53.0,UDP,70,0,64,,,,73,4.212036634470622
0.107418,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,79,4.821797513134397
5e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,80,4.821797513134397
2e-06,104.18.10.200,10.5.6.74,443.0,49987.0,TCP,1507,1441,51,A,16.0,19.0,81,4.821797513134397
0.063079,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20783.0,82,4.212036634470622
0.000146,10.5.6.74,104.18.10.200,49987.0,443.0,TCP,66,0,64,A,16.0,20851.0,83,4.212036634470622
