src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index,log_src_ip_avg_freq
0.000562,10.129.219.246,31.13.87.1,55718,443,TCP,98,32,64,PA,24.0,2048.0,1,2.147492882155891
5e-06,31.13.87.1,10.129.219.246,443,55718,TCP,66,0,54,A,16.0,813.0,3,0.9675180692604248
0.112784,31.13.87.1,10.129.219.246,443,55715,TCP,94,28,54,PA,24.0,299.0,4,0.9675180692604248
4e-06,31.13.87.1,10.129.219.246,443,55718,TCP,94,28,54,PA,24.0,813.0,5,0.9675180692604248
0.119643,10.129.219.246,31.13.87.1,55715,443,TCP,66,0,64,A,16.0,2047.0,6,2.147492882155891
7.3e-05,10.129.219.246,31.13.87.1,55718,443,TCP,66,0,64,A,16.0,2047.0,7,2.147492882155891
0.880199,10.129.219.246,31.13.87.4,55716,443,TCP,95,29,64,PA,24.0,2048.0,8,2.147492882155891
0.307594,31.13.87.4,10.129.219.246,443,55716,TCP,91,25,54,PA,24.0,2043.0,10,0.9072501420142111
0.312461,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2047.0,11,2.147492882155891
1.995251,10.129.219.246,31.13.87.4,55716,443,TCP,675,609,64,PA,24.0,2048.0,12,2.147492882155891
2.007124,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,13,0.9072501420142111
0.350124,31.13.87.4,10.129.219.246,443,55716,TCP,98,32,54,PA,24.0,2043.0,14,0.9072501420142111
5e-06,31.13.87.4,10.129.219.246,443,55716,TCP,109,43,54,PA,24.0,2043.0,15,0.9072501420142111
0.000218,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,16,0.9072501420142111
4e-06,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,17,0.9072501420142111
0.362122,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2046.0,18,2.147492882155891
9.9e-05,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2004.0,19,2.147492882155891
0.00036,31.13.87.4,10.129.219.246,443,55716,TCP,1398,1332,54,PA,24.0,2043.0,20,0.9072501420142111
4e-06,31.13.87.4,10.129.219.246,443,55716,TCP,750,684,54,PA,24.0,2043.0,21,0.9072501420142111
0.000243,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,1972.0,22,2.147492882155891
1.5e-05,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2048.0,23,2.147492882155891
0.001407,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,24,2.147492882155891
