src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index,log_src_ip_avg_freq
0.558429,10.5.3.148,224.0.0.251,5353.0,5353.0,UDP,338,0,255,,,,104,1.4694907710442526
0.060945,10.5.5.83,239.255.255.250,36254.0,1900.0,UDP,367,325,4,,,,106,2.251885974611372
9e-06,10.5.7.56,224.0.0.251,5353.0,5353.0,UDP,295,0,255,,,,112,1.7480674004264263
0.036654,10.5.5.83,224.0.0.251,5353.0,5353.0,UDP,190,0,255,,,,114,2.251885974611372
2e-06,10.5.5.83,255.255.255.255,48689.0,48689.0,UDP,92,50,64,,,,115,2.251885974611372
0.634501,10.5.0.24,224.0.0.251,5353.0,5353.0,UDP,98,0,255,,,,120,1.0336742407986899
0.146208,10.5.3.148,10.5.7.255,137.0,137.0,UDP,110,0,64,,,,122,1.4694907710442526
0.073701,10.5.0.59,224.0.0.251,5353.0,5353.0,UDP,100,0,255,,,,123,2.063346723871916
0.867188,10.5.6.205,10.5.7.255,137.0,137.0,UDP,92,0,128,,,,125,1.2540053816321428
0.000546,10.5.6.205,224.0.0.252,53649.0,5355.0,UDP,75,0,1,,,,127,1.2540053816321428
2.01275,140.112.31.46,10.5.6.61,41822.0,7000.0,TCP,78,0,62,S,2.0,65535.0,130,0.6931471805599453
0.456333,10.5.6.61,140.112.31.46,7000.0,41822.0,TCP,78,0,64,SA,18.0,65535.0,131,2.2794962962497802
0.225478,10.5.0.59,239.255.255.250,57083.0,1900.0,UDP,136,94,1,,,,132,2.063346723871916
0.000517,10.5.0.59,239.255.255.250,57083.0,1900.0,UDP,179,137,1,,,,133,2.063346723871916
1.063645,10.5.7.252,224.0.0.18,,,Other,70,36,255,,,,134,0.8806626526032294
0.474087,10.5.7.56,224.0.0.251,5353.0,5353.0,UDP,302,0,255,,,,135,1.7480674004264263
0.555041,10.5.5.83,239.255.255.250,54505.0,1900.0,UDP,303,261,4,,,,138,2.251885974611372
1.483085,10.5.0.166,10.5.7.255,57621.0,57621.0,UDP,86,44,128,,,,139,1.6176436864632058
0.417295,10.5.6.205,224.0.0.252,53649.0,5355.0,UDP,75,0,1,,,,142,1.2540053816321428
0.094011,10.5.5.83,239.255.255.250,54505.0,1900.0,UDP,312,270,4,,,,143,2.251885974611372
0.356054,10.5.0.59,10.5.7.255,137.0,137.0,UDP,110,56,64,,,,144,2.063346723871916
0.250221,10.5.7.56,224.0.0.251,5353.0,5353.0,UDP,302,0,255,,,,145,1.7480674004264263
0.086675,10.5.5.83,239.255.255.250,54505.0,1900.0,UDP,359,317,4,,,,147,2.251885974611372
0.709716,10.5.3.148,10.5.7.255,137.0,137.0,UDP,110,0,64,,,,148,1.4694907710442526
0.091592,10.5.5.83,239.255.255.250,54505.0,1900.0,UDP,357,315,4,,,,149,2.251885974611372
0.091137,10.5.5.83,239.255.255.250,54505.0,1900.0,UDP,369,327,4,,,,150,2.251885974611372
0.254259,10.5.7.56,224.0.0.251,5353.0,5353.0,UDP,302,0,255,,,,151,1.7480674004264263
0.342002,10.5.6.205,10.5.7.255,137.0,137.0,UDP,92,0,128,,,,152,1.2540053816321428
0.192094,10.5.3.148,224.0.0.251,5353.0,5353.0,UDP,396,0,255,,,,154,1.4694907710442526
0.079036,10.5.5.83,255.255.255.255,48689.0,48689.0,UDP,92,50,64,,,,155,2.251885974611372
0.009254,10.5.5.83,239.255.255.250,54505.0,1900.0,UDP,367,325,4,,,,157,2.251885974611372
0.100667,10.5.7.56,224.0.0.251,5353.0,5353.0,UDP,306,0,255,,,,160,1.7480674004264263
0.034323,10.5.5.26,239.255.255.250,49991.0,1900.0,UDP,167,125,255,,,,163,0.6931471805599453
0.49345,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,86,0,1,,,,164,1.6176436864632058
2e-06,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,83,0,1,,,,165,1.6176436864632058
0.003067,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,296,0,1,,,,169,1.6176436864632058
1e-06,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,287,0,1,,,,170,1.6176436864632058
1.021698,10.5.0.24,224.0.0.251,5353.0,5353.0,UDP,98,0,255,,,,171,1.0336742407986899
3.021788,10.5.5.40,224.0.0.251,5353.0,5353.0,UDP,1283,0,255,,,,175,0.6931471805599453
0.185657,10.5.7.56,224.0.0.251,5353.0,5353.0,UDP,1355,0,255,,,,176,1.7480674004264263
0.290408,10.5.3.148,224.0.0.251,5353.0,5353.0,UDP,1100,0,255,,,,179,1.4694907710442526
1.060252,10.5.7.252,224.0.0.18,,,Other,70,36,255,,,,183,0.8806626526032294
1.163164,10.5.6.61,31.13.87.1,55862.0,443.0,TCP,112,46,64,PA,24.0,2048.0,184,2.2794962962497802
0.005697,10.5.6.61,31.13.87.1,56142.0,443.0,UDP,1292,1250,64,,,,185,2.2794962962497802
2.5e-05,10.5.6.61,31.13.87.1,56142.0,443.0,UDP,1292,1250,64,,,,186,2.2794962962497802
