src_ip,dst_ip,protocol,dst_port,packet_length
13.107.5.93,10.129.219.246,TCP,53594,1436
13.107.5.93,10.129.219.246,TCP,53594,135
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,758
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
52.182.141.63,10.129.219.246,TCP,53554,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,31.13.87.1,TCP,443,98
31.13.87.1,10.129.219.246,TCP,53506,66
10.129.219.246,13.107.5.93,TCP,443,78
31.13.87.1,10.129.219.246,TCP,53506,94
10.129.219.246,31.13.87.1,TCP,443,66
13.107.5.93,10.129.219.246,TCP,53595,66
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,571
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,153
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,398
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,1436
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,1436
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,1436
13.107.5.93,10.129.219.246,TCP,53595,86
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,13.107.5.93,TCP,443,668
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,513
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,1436
13.107.5.93,10.129.219.246,TCP,53595,134
