src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.1.101,224.0.0.251,5353.0,5353.0,UDP,200,0,255,None,,,3
192.168.1.101,224.0.0.251,5353.0,5353.0,UDP,200,0,255,None,,,42
140.82.114.26,192.168.1.105,443.0,49320.0,TCP,91,25,40,PA,24.0,78.0,45
192.168.1.105,140.82.114.26,49320.0,443.0,TCP,66,0,64,A,16.0,2047.0,46
192.168.1.105,140.82.114.26,49320.0,443.0,TCP,95,29,64,PA,24.0,2048.0,47
140.82.114.26,192.168.1.105,443.0,49320.0,TCP,66,0,40,A,16.0,78.0,48
140.82.113.21,192.168.1.105,443.0,49322.0,TCP,105,39,40,PA,24.0,123.0,61
192.168.1.105,140.82.113.21,49322.0,443.0,TCP,66,0,64,A,16.0,2047.0,62
192.168.1.105,140.82.113.21,49322.0,443.0,TCP,66,0,64,FA,17.0,2048.0,63
140.82.113.21,192.168.1.105,443.0,49322.0,TCP,90,24,40,PA,24.0,123.0,64
140.82.113.21,192.168.1.105,443.0,49322.0,TCP,66,0,40,FA,17.0,123.0,65
192.168.1.105,140.82.113.21,49322.0,443.0,TCP,54,0,64,R,4.0,0.0,66
192.168.1.105,140.82.113.21,49322.0,443.0,TCP,54,0,64,R,4.0,0.0,67
140.82.113.21,192.168.1.105,443.0,49322.0,TCP,66,0,40,A,16.0,123.0,68
192.168.1.105,140.82.113.21,49322.0,443.0,TCP,54,0,64,R,4.0,0.0,69
192.168.1.105,140.112.145.141,49297.0,443.0,TCP,54,0,64,A,16.0,2048.0,70
140.112.145.141,192.168.1.105,443.0,49297.0,TCP,66,0,55,A,16.0,501.0,71
192.168.1.105,142.250.204.46,49302.0,443.0,TCP,54,0,64,A,16.0,2048.0,74
142.250.204.46,192.168.1.105,443.0,49302.0,TCP,66,0,120,A,16.0,1044.0,75
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,184,118,64,PA,24.0,2048.0,106
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,105,39,64,PA,24.0,2048.0,107
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,1494,1428,64,A,16.0,2048.0,108
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,1277,1211,64,PA,24.0,2048.0,109
20.189.173.3,192.168.1.105,443.0,49327.0,TCP,66,0,107,A,16.0,16382.0,112
20.189.173.3,192.168.1.105,443.0,49327.0,TCP,66,0,107,A,16.0,16385.0,113
20.189.173.3,192.168.1.105,443.0,49327.0,TCP,105,39,107,PA,24.0,16385.0,114
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,66,0,64,A,16.0,2047.0,115
20.189.173.3,192.168.1.105,443.0,49327.0,TCP,165,99,107,PA,24.0,16385.0,116
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,66,0,64,A,16.0,2046.0,117
192.168.1.105,20.189.173.3,49327.0,443.0,TCP,101,35,64,PA,24.0,2048.0,118
20.189.173.3,192.168.1.105,443.0,49327.0,TCP,66,0,107,A,16.0,16385.0,123
192.168.1.105,185.199.108.154,49316.0,443.0,TCP,54,0,64,A,16.0,2048.0,151
185.199.108.154,192.168.1.105,443.0,49316.0,TCP,66,0,57,A,16.0,295.0,152
192.168.1.105,185.199.108.154,49318.0,443.0,TCP,54,0,64,A,16.0,2048.0,165
185.199.108.154,192.168.1.105,443.0,49318.0,TCP,66,0,57,A,16.0,295.0,166
192.168.1.105,142.250.198.78,49311.0,443.0,TCP,54,0,64,A,16.0,2048.0,201
142.250.198.78,192.168.1.105,443.0,49311.0,TCP,66,0,120,A,16.0,1044.0,202
192.168.1.101,224.0.0.251,,,Other,46,8,1,None,,,269
192.168.1.101,224.0.0.251,5353.0,5353.0,UDP,100,0,255,None,,,270
192.168.1.105,192.168.1.101,5353.0,5353.0,UDP,424,0,255,None,,,273
192.168.1.101,224.0.0.251,5353.0,5353.0,UDP,200,0,255,None,,,277
17.145.8.1,192.168.1.105,443.0,56208.0,TCP,105,39,44,PA,24.0,147.0,303
17.145.8.1,192.168.1.105,443.0,56208.0,TCP,90,24,44,PA,24.0,147.0,304
