timestamp,src_ip,dst_ip,src_port,dst_port,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window
1747319108.275099,192.168.167.34,224.0.0.251,5353,5353,100,0,255,,,
1747319108.937737,192.168.167.253,192.168.167.35,35241,53,108,0,64,,,
1747319108.999443,192.168.167.35,192.168.167.253,53,35241,198,0,64,,,
1747319109.124144,192.168.167.253,192.168.167.35,38620,53,86,0,64,,,
1747319109.124322,192.168.167.253,192.168.167.35,46540,53,86,0,64,,,
1747319109.179376,192.168.167.35,192.168.167.253,53,38620,185,0,64,,,
1747319109.181894,192.168.167.35,192.168.167.253,53,46540,209,0,64,,,
1747319109.257936,192.168.167.253,192.168.167.35,39957,53,95,0,64,,,
1747319109.258054,192.168.167.253,192.168.167.35,36480,53,95,0,64,,,
1747319109.293964,192.168.167.35,192.168.167.253,53,39957,206,0,64,,,
1747319109.309027,192.168.167.35,192.168.167.253,53,36480,218,0,64,,,
1747319109.43891,192.168.167.253,192.168.167.35,42138,53,82,0,64,,,
1747319109.439968,192.168.167.253,192.168.167.35,35131,53,82,0,64,,,
1747319109.440493,192.168.167.253,192.168.167.35,34070,53,84,0,64,,,
1747319109.440665,192.168.167.253,192.168.167.35,59155,53,84,0,64,,,
1747319109.442542,192.168.167.253,34.107.221.82,36150,80,74,0,64,S,2.0,32120.0
1747319109.457184,192.168.167.253,192.168.167.35,33633,53,99,0,64,,,
1747319109.457317,192.168.167.253,192.168.167.35,54303,53,99,0,64,,,
1747319109.49242,192.168.167.35,192.168.167.253,53,42138,146,0,64,,,
1747319109.492782,192.168.167.253,34.107.221.82,36150,80,66,0,64,A,16.0,251.0
1747319109.498585,192.168.167.253,34.107.221.82,36150,80,369,303,64,PA,24.0,251.0
1747319109.499116,192.168.167.35,192.168.167.253,53,35131,194,0,64,,,
1747319109.499117,192.168.167.35,192.168.167.253,53,34070,116,0,64,,,
1747319109.499117,192.168.167.35,192.168.167.253,53,59155,141,0,64,,,
1747319109.50716,192.168.167.35,192.168.167.253,53,33633,252,0,64,,,
1747319109.50716,192.168.167.35,192.168.167.253,53,54303,180,0,64,,,
1747319109.509417,192.168.167.253,34.36.137.203,56000,443,1399,1357,64,,,
1747319109.543267,192.168.167.253,192.168.167.35,57195,53,90,0,64,,,
1747319109.543393,192.168.167.253,192.168.167.35,53908,53,90,0,64,,,
1747319109.551042,34.107.221.82,192.168.167.253,80,36150,66,0,115,A,16.0,1049.0
1747319109.551055,34.107.221.82,192.168.167.253,80,36150,282,216,115,PA,24.0,1050.0
1747319109.551074,192.168.167.253,34.107.221.82,36150,80,66,0,64,A,16.0,250.0
1747319109.560074,34.36.137.203,192.168.167.253,443,56000,1399,1357,53,,,
1747319109.560443,34.36.137.203,192.168.167.253,443,56000,757,715,53,,,
1747319109.563441,192.168.167.253,34.36.137.203,56000,443,85,43,64,,,
1747319109.580057,192.168.167.35,192.168.167.253,53,53908,233,0,64,,,
1747319109.580414,192.168.167.253,192.168.167.35,57876,53,110,0,64,,,
1747319109.587564,192.168.167.253,34.36.137.203,58854,443,74,0,64,S,2.0,32120.0
1747319109.593273,192.168.167.35,192.168.167.253,53,57876,99,0,64,,,
1747319109.593547,192.168.167.253,192.168.167.35,57876,53,99,0,64,,,
1747319109.602546,192.168.167.35,192.168.167.253,53,57876,99,0,64,,,
1747319109.62917,192.168.167.35,192.168.167.253,53,57195,159,0,64,,,
1747319109.629431,192.168.167.253,192.168.167.35,51933,53,99,0,64,,,
1747319109.632358,34.36.137.203,192.168.167.253,443,58854,74,0,116,SA,18.0,65535.0
1747319109.632434,192.168.167.253,34.36.137.203,58854,443,66,0,64,A,16.0,251.0
1747319109.635658,192.168.167.253,34.36.137.203,58854,443,742,676,64,PA,24.0,251.0
1747319109.635803,192.168.167.35,192.168.167.253,53,51933,115,0,64,,,
1747319109.638213,192.168.167.253,192.168.167.35,41191,53,75,0,64,,,
1747319109.638313,192.168.167.253,192.168.167.35,44485,53,75,0,64,,,
1747319109.640426,192.168.167.253,34.36.137.203,42229,443,1399,1357,64,,,
1747319109.649875,192.168.167.253,34.36.137.203,58862,443,74,0,64,S,2.0,32120.0
1747319109.691025,34.36.137.203,192.168.167.253,443,58854,66,0,116,A,16.0,1048.0
1747319109.698443,192.168.167.253,192.168.167.35,59329,53,95,0,64,,,
1747319109.698759,192.168.167.253,192.168.167.35,41340,53,95,0,64,,,
1747319109.706206,34.36.137.203,192.168.167.253,443,42229,1399,1357,52,,,
1747319109.706207,34.36.137.203,192.168.167.253,443,42229,1399,1357,52,,,
1747319109.706207,34.36.137.203,192.168.167.253,443,42229,1399,1357,52,,,
1747319109.706207,34.36.137.203,192.168.167.253,443,58854,2866,2800,116,PA,24.0,1048.0
1747319109.706208,34.36.137.203,192.168.167.253,443,58854,387,321,116,PA,24.0,1048.0
1747319109.706208,34.36.137.203,192.168.167.253,443,58862,74,0,116,SA,18.0,65535.0
1747319109.706227,192.168.167.253,34.36.137.203,58854,443,66,0,64,A,16.0,249.0
1747319109.706239,192.168.167.253,34.36.137.203,58854,443,66,0,64,A,16.0,249.0
1747319109.706249,192.168.167.253,34.36.137.203,58862,443,66,0,64,A,16.0,251.0
1747319109.706371,192.168.167.35,192.168.167.253,53,41191,174,0,64,,,
1747319109.706515,192.168.167.35,192.168.167.253,53,44485,198,0,64,,,
1747319109.710869,192.168.167.253,34.36.137.203,42229,443,84,42,64,,,
1747319109.714422,192.168.167.253,34.36.137.203,58862,443,733,667,64,PA,24.0,251.0
1747319109.719804,192.168.167.253,34.36.137.203,56000,443,82,40,64,,,
1747319109.719829,192.168.167.253,34.36.137.203,56000,443,82,40,64,,,
1747319109.732333,192.168.167.35,192.168.167.253,53,59329,181,0,64,,,
1747319109.743515,192.168.167.35,192.168.167.253,53,41340,193,0,64,,,
1747319109.7459,34.36.137.203,192.168.167.253,443,42229,840,798,52,,,
1747319109.745907,34.36.137.203,192.168.167.253,443,58862,66,0,116,A,16.0,1048.0
1747319109.747172,192.168.167.253,34.36.137.203,42229,443,85,43,64,,,
