timestamp,global_delta_time,src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
1747273410.695849,0.000562,0.000562,10.129.219.246,31.13.87.1,55718,443,TCP,98,32,64,PA,24.0,2048.0,1
1747273410.702485,0.000005,0.000005,31.13.87.1,10.129.219.246,443,55718,TCP,66,0,54,A,16.0,813.0,3
1747273410.815269,0.112784,0.112784,31.13.87.1,10.129.219.246,443,55715,TCP,94,28,54,PA,24.0,299.0,4
1747273410.815273,0.000004,0.000004,31.13.87.1,10.129.219.246,443,55718,TCP,94,28,54,PA,24.0,813.0,5
1747273410.815492,0.000219,0.119643,10.129.219.246,31.13.87.1,55715,443,TCP,66,0,64,A,16.0,2047.0,6
1747273410.815565,0.000073,0.000073,10.129.219.246,31.13.87.1,55718,443,TCP,66,0,64,A,16.0,2047.0,7
1747273411.695764,0.880199,0.880199,10.129.219.246,31.13.87.4,55716,443,TCP,95,29,64,PA,24.0,2048.0,8
1747273412.008046,0.307594,0.307594,31.13.87.4,10.129.219.246,443,55716,TCP,91,25,54,PA,24.0,2043.0,10
1747273412.008225,0.000179,0.312461,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2047.0,11
1747273414.003476,1.995251,1.995251,10.129.219.246,31.13.87.4,55716,443,TCP,675,609,64,PA,24.0,2048.0,12
1747273414.015170,0.011694,2.007124,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,13
1747273414.365294,0.350124,0.350124,31.13.87.4,10.129.219.246,443,55716,TCP,98,32,54,PA,24.0,2043.0,14
1747273414.365299,0.000005,0.000005,31.13.87.4,10.129.219.246,443,55716,TCP,109,43,54,PA,24.0,2043.0,15
1747273414.365517,0.000218,0.000218,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,16
1747273414.365521,0.000004,0.000004,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,17
