timestamp,src_ip,dst_ip,src_port,dst_port,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window
1747192072.626056,172.20.10.4,140.112.145.153,51626.0,443.0,66,0,64,A,16.0,2053.0
1747192072.627038,172.20.10.4,140.112.145.153,51626.0,443.0,1464,1398,64,A,16.0,2053.0
1747192072.62707,172.20.10.4,140.112.145.153,51626.0,443.0,393,327,64,PA,24.0,2053.0
1747192072.729168,140.112.145.153,172.20.10.4,443.0,51626.0,66,0,53,A,16.0,501.0
1747192072.72917,140.112.145.153,172.20.10.4,443.0,51626.0,66,0,53,A,16.0,501.0
1747192072.729172,140.112.145.153,172.20.10.4,443.0,51626.0,1464,1398,53,A,16.0,501.0
1747192072.729174,140.112.145.153,172.20.10.4,443.0,51626.0,1464,1398,53,A,16.0,501.0
1747192072.729176,140.112.145.153,172.20.10.4,443.0,51626.0,438,372,53,PA,24.0,501.0
1747192072.729363,172.20.10.4,140.112.145.153,51626.0,443.0,66,0,64,A,16.0,2003.0
1747192072.729484,172.20.10.4,140.112.145.153,51626.0,443.0,66,0,64,A,16.0,2048.0
1747192072.730457,172.20.10.4,140.112.145.153,51626.0,443.0,130,64,64,PA,24.0,2048.0
1747192072.731037,172.20.10.4,140.112.145.153,51626.0,443.0,1464,1398,64,A,16.0,2048.0
1747192072.731039,172.20.10.4,140.112.145.153,51626.0,443.0,1464,1398,64,A,16.0,2048.0
1747192072.731058,172.20.10.4,140.112.145.153,51626.0,443.0,1421,1355,64,PA,24.0,2048.0
1747192072.950452,140.112.145.153,172.20.10.4,443.0,51626.0,66,0,53,A,16.0,501.0
1747192072.979001,140.112.145.153,172.20.10.4,443.0,51626.0,66,0,53,A,16.0,501.0
1747192073.054078,140.112.145.153,172.20.10.4,443.0,51626.0,551,485,53,PA,24.0,501.0
1747192073.054244,172.20.10.4,140.112.145.153,51626.0,443.0,66,0,64,A,16.0,2040.0
1747192074.489627,172.20.10.4,3.33.235.18,51553.0,443.0,54,0,64,A,16.0,2048.0
1747192074.911638,172.20.10.4,35.174.127.31,51531.0,443.0,306,240,64,PA,24.0,2048.0
1747192075.158186,172.20.10.4,35.174.127.31,51531.0,443.0,66,0,64,A,16.0,2043.0
1747192078.150988,140.112.145.153,172.20.10.4,443.0,51626.0,90,24,53,PA,24.0,501.0
1747192078.150992,140.112.145.153,172.20.10.4,443.0,51626.0,66,0,53,FA,17.0,501.0
1747192078.151209,172.20.10.4,140.112.145.153,51626.0,443.0,66,0,64,A,16.0,2047.0
1747192078.151287,172.20.10.4,140.112.145.153,51626.0,443.0,66,0,64,A,16.0,2047.0
1747192082.122526,172.20.10.4,34.120.52.64,51523.0,443.0,66,0,64,A,16.0,2047.0
1747192082.123464,172.20.10.4,34.120.52.64,51523.0,443.0,97,31,64,PA,24.0,2048.0
1747192082.166638,34.120.52.64,172.20.10.4,443.0,51523.0,66,0,121,A,16.0,1040.0
1747192083.781417,172.20.10.4,31.13.87.1,51549.0,443.0,98,32,64,PA,24.0,2048.0
1747192083.786167,172.20.10.4,140.112.145.153,51626.0,443.0,54,0,64,RA,20.0,2047.0
1747192083.786855,172.20.10.4,172.20.10.1,33867.0,53.0,76,0,64,,,
1747192083.787068,172.20.10.4,172.20.10.1,61566.0,53.0,76,0,64,,,
1747192083.787154,172.20.10.4,172.20.10.1,3116.0,53.0,76,0,64,,,
1747192083.862191,172.20.10.1,172.20.10.4,53.0,33867.0,133,0,64,,,
1747192083.862326,172.20.10.1,172.20.10.4,53.0,61566.0,121,0,64,,,
1747192083.987552,31.13.87.1,172.20.10.4,443.0,51549.0,94,28,54,PA,24.0,321.0
1747192083.987881,172.20.10.4,31.13.87.1,51549.0,443.0,66,0,64,A,16.0,2047.0
1747192087.289326,172.20.10.4,140.112.145.141,51574.0,443.0,54,0,64,A,16.0,2048.0
1747192089.302986,31.13.87.1,172.20.10.4,443.0,51549.0,139,73,54,PA,24.0,321.0
1747192089.303203,172.20.10.4,31.13.87.1,51549.0,443.0,66,0,64,A,16.0,2046.0
1747192090.911104,172.20.10.4,35.174.127.31,51531.0,443.0,307,241,64,PA,24.0,2048.0
1747192091.235769,35.174.127.31,172.20.10.4,443.0,51531.0,328,262,113,PA,24.0,210.0
1747192091.236,172.20.10.4,35.174.127.31,51531.0,443.0,66,0,64,A,16.0,2043.0
